Ημερομηνία,"SO (ppb)2","SO (μg/m3)2",Οριακή τιμή (μg/m3)
26/4/2024 0:00,0.096,0.252,350
26/4/2024 1:00,0.127,0.333,350
26/4/2024 2:00,0.364,0.954,350
26/4/2024 3:00,0.019,0.050,350
26/4/2024 4:00,0.062,0.162,350
26/4/2024 5:00,0.280,0.734,350
26/4/2024 6:00,0.186,0.487,350
26/4/2024 7:00,0.419,1.098,350
26/4/2024 8:00,0.190,0.498,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
26/4/2024 9:00,0.210,0.550,350
26/4/2024 10:00,0.193,0.506,350
26/4/2024 11:00,0.080,0.210,350
26/4/2024 12:00,0.111,0.291,350
26/4/2024 13:00,0.192,0.503,350
26/4/2024 14:00,0.261,0.684,350
26/4/2024 15:00,0.165,0.432,350
26/4/2024 16:00,0.215,0.563,350
26/4/2024 17:00,0.131,0.343,350
26/4/2024 18:00,0.191,0.500,350
26/4/2024 19:00,0.127,0.333,350
26/4/2024 20:00,0.017,0.045,350
26/4/2024 21:00,0.022,0.058,350
26/4/2024 22:00,0.311,0.815,350
26/4/2024 23:00,0.208,0.545,350
27/4/2024 0:00,0.250,0.655,350
27/4/2024 1:00,0.191,0.500,350
27/4/2024 2:00,0.034,0.089,350
27/4/2024 3:00,0.299,0.783,350
27/4/2024 4:00,0.153,0.401,350
27/4/2024 5:00,0.033,0.086,350
27/4/2024 6:00,0.004,0.010,350
27/4/2024 7:00,0.285,0.747,350
27/4/2024 8:00,0.428,1.121,350
27/4/2024 9:00,0.428,1.121,350
27/4/2024 10:00,1.068,2.798,350
27/4/2024 11:00,0.517,1.355,350
27/4/2024 12:00,0.485,1.271,350
27/4/2024 13:00,0.492,1.289,350
27/4/2024 14:00,0.408,1.069,350
27/4/2024 15:00,0.398,1.043,350
27/4/2024 16:00,0.217,0.569,350
27/4/2024 17:00,0.211,0.553,350
27/4/2024 18:00,0.188,0.493,350
27/4/2024 19:00,0.081,0.212,350
27/4/2024 20:00,0.091,0.238,350
27/4/2024 21:00,0.416,1.090,350
27/4/2024 22:00,0.018,0.047,350
27/4/2024 23:00,0.307,0.804,350
28/4/2024 0:00,0.172,0.451,350
28/4/2024 1:00,0.217,0.569,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
28/4/2024 2:00,0.310,0.812,350
28/4/2024 3:00,0.363,0.951,350
28/4/2024 4:00,0.210,0.550,350
28/4/2024 5:00,0.087,0.228,350
28/4/2024 6:00,0.219,0.574,350
28/4/2024 7:00,0.128,0.335,350
28/4/2024 8:00,0.276,0.723,350
28/4/2024 9:00,0.732,1.918,350
28/4/2024 10:00,0.588,1.541,350
28/4/2024 11:00,0.048,0.126,350
28/4/2024 12:00,0.013,0.034,350
28/4/2024 13:00,0.012,0.031,350
28/4/2024 14:00,0.035,0.092,350
28/4/2024 15:00,0.137,0.359,350
28/4/2024 16:00,0.143,0.375,350
28/4/2024 17:00,0.132,0.346,350
28/4/2024 18:00,0.152,0.398,350
28/4/2024 19:00,0.213,0.558,350
28/4/2024 20:00,0.262,0.686,350
28/4/2024 21:00,0.263,0.689,350
28/4/2024 22:00,0.244,0.639,350
28/4/2024 23:00,0.229,0.600,350
29/4/2024 0:00,0.143,0.375,350
29/4/2024 1:00,0.006,0.016,350
29/4/2024 2:00,0.172,0.451,350
29/4/2024 3:00,0.110,0.288,350
29/4/2024 4:00,0.132,0.346,350
29/4/2024 5:00,0.183,0.479,350
29/4/2024 6:00,0.323,0.846,350
29/4/2024 7:00,0.566,1.483,350
29/4/2024 8:00,0.300,0.786,350
29/4/2024 9:00,0.483,1.265,350
29/4/2024 10:00,0.166,0.435,350
29/4/2024 11:00,0.012,0.031,350
29/4/2024 12:00,0.101,0.265,350
29/4/2024 13:00,0.064,0.168,350
29/4/2024 14:00,0.047,0.123,350
29/4/2024 15:00,0.148,0.388,350
29/4/2024 16:00,0.038,0.100,350
29/4/2024 17:00,0.103,0.270,350
29/4/2024 18:00,0.024,0.063,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
29/4/2024 19:00,0.009,0.024,350
29/4/2024 20:00,0.042,0.110,350
29/4/2024 21:00,0.081,0.212,350
29/4/2024 22:00,0.227,0.595,350
29/4/2024 23:00,0.142,0.372,350
30/4/2024 0:00,0.268,0.702,350
30/4/2024 1:00,0.227,0.595,350
30/4/2024 2:00,0.154,0.403,350
30/4/2024 3:00,0.157,0.411,350
30/4/2024 4:00,0.165,0.432,350
30/4/2024 5:00,0.280,0.734,350
30/4/2024 6:00,0.286,0.749,350
30/4/2024 7:00,0.269,0.705,350
30/4/2024 8:00,0.387,1.014,350
30/4/2024 9:00,0.495,1.297,350
30/4/2024 10:00,0.743,1.947,350
30/4/2024 11:00,0.525,1.376,350
30/4/2024 12:00,0.504,1.320,350
30/4/2024 13:00,0.406,1.064,350
30/4/2024 14:00,0.307,0.804,350
30/4/2024 15:00,0.282,0.739,350
30/4/2024 16:00,0.232,0.608,350
30/4/2024 17:00,0.159,0.417,350
30/4/2024 18:00,0.196,0.514,350
30/4/2024 19:00,0.236,0.618,350
30/4/2024 20:00,0.219,0.574,350
30/4/2024 21:00,0.233,0.610,350
30/4/2024 22:00,0.163,0.427,350
30/4/2024 23:00,0.183,0.479,350
